Barcode Length                        9
Hamming Weight                        4
Minimum Hamming Distance              4
Theoretical Max (Johnson Bound)       18
StrategyUsed                          PunctureCoveringRange
Final Codebook Size                   18
Percentage Yield in %                 100.0
Starting Code Method                  range puncture from v=10: Created by: Jan de Heer
Pruning: Codes Removed                0
Pruning: Codebook Size After Pruning  None
Iterations Used                       0
Timing: start_chosen_s                0.0020933339837938547
Timing: after_pruning_s               0.0021349589806050062
Timing: total_s                       0.002135458984412253
